ontology,level,bucket,count,percent
ontology_10,entity,<50,0,0.00
ontology_10,entity,50-60,0,0.00
ontology_10,entity,60-70,0,0.00
ontology_10,entity,70-80,0,0.00
ontology_10,entity,80-90,0,0.00
ontology_10,entity,90-100,3,100.00
ontology_10,triple,<50,0,0.00
ontology_10,triple,50-60,0,0.00
ontology_10,triple,60-70,1,100.00
ontology_10,triple,70-80,0,0.00
ontology_10,triple,80-90,0,0.00
ontology_10,triple,90-100,0,0.00
ontology_11,entity,<50,9,21.43
ontology_11,entity,50-60,18,42.86
ontology_11,entity,60-70,11,26.19
ontology_11,entity,70-80,2,4.76
ontology_11,entity,80-90,0,0.00
ontology_11,entity,90-100,2,4.76
ontology_11,triple,<50,0,0.00
ontology_11,triple,50-60,0,0.00
ontology_11,triple,60-70,0,0.00
ontology_11,triple,70-80,0,0.00
ontology_11,triple,80-90,0,0.00
ontology_11,triple,90-100,0,0.00
ontology_12,entity,<50,3,18.75
ontology_12,entity,50-60,4,25.00
ontology_12,entity,60-70,3,18.75
ontology_12,entity,70-80,3,18.75
ontology_12,entity,80-90,0,0.00
ontology_12,entity,90-100,3,18.75
ontology_12,triple,<50,0,0.00
ontology_12,triple,50-60,0,0.00
ontology_12,triple,60-70,5,38.46
ontology_12,triple,70-80,6,46.15
ontology_12,triple,80-90,2,15.38
ontology_12,triple,90-100,0,0.00
ontology_14,entity,<50,3,4.29
ontology_14,entity,50-60,13,18.57
ontology_14,entity,60-70,20,28.57
ontology_14,entity,70-80,2,2.86
ontology_14,entity,80-90,2,2.86
ontology_14,entity,90-100,30,42.86
ontology_14,triple,<50,0,0.00
ontology_14,triple,50-60,0,0.00
ontology_14,triple,60-70,0,0.00
ontology_14,triple,70-80,0,0.00
ontology_14,triple,80-90,0,0.00
ontology_14,triple,90-100,0,0.00
ontology_15,entity,<50,0,0.00
ontology_15,entity,50-60,0,0.00
ontology_15,entity,60-70,0,0.00
ontology_15,entity,70-80,1,33.33
ontology_15,entity,80-90,0,0.00
ontology_15,entity,90-100,2,66.67
ontology_15,triple,<50,0,0.00
ontology_15,triple,50-60,0,0.00
ontology_15,triple,60-70,0,0.00
ontology_15,triple,70-80,0,0.00
ontology_15,triple,80-90,0,0.00
ontology_15,triple,90-100,0,0.00
ontology_16,entity,<50,0,0.00
ontology_16,entity,50-60,1,100.00
ontology_16,entity,60-70,0,0.00
ontology_16,entity,70-80,0,0.00
ontology_16,entity,80-90,0,0.00
ontology_16,entity,90-100,0,0.00
ontology_16,triple,<50,0,0.00
ontology_16,triple,50-60,0,0.00
ontology_16,triple,60-70,0,0.00
ontology_16,triple,70-80,0,0.00
ontology_16,triple,80-90,0,0.00
ontology_16,triple,90-100,0,0.00
ontology_17,entity,<50,0,0.00
ontology_17,entity,50-60,7,8.43
ontology_17,entity,60-70,14,16.87
ontology_17,entity,70-80,15,18.07
ontology_17,entity,80-90,20,24.10
ontology_17,entity,90-100,27,32.53
ontology_17,triple,<50,1,0.65
ontology_17,triple,50-60,6,3.90
ontology_17,triple,60-70,18,11.69
ontology_17,triple,70-80,54,35.06
ontology_17,triple,80-90,62,40.26
ontology_17,triple,90-100,13,8.44
ontology_18,entity,<50,0,0.00
ontology_18,entity,50-60,0,0.00
ontology_18,entity,60-70,1,14.29
ontology_18,entity,70-80,4,57.14
ontology_18,entity,80-90,0,0.00
ontology_18,entity,90-100,2,28.57
ontology_18,triple,<50,0,0.00
ontology_18,triple,50-60,0,0.00
ontology_18,triple,60-70,5,100.00
ontology_18,triple,70-80,0,0.00
ontology_18,triple,80-90,0,0.00
ontology_18,triple,90-100,0,0.00
ontology_19,entity,<50,0,0.00
ontology_19,entity,50-60,0,0.00
ontology_19,entity,60-70,0,0.00
ontology_19,entity,70-80,0,0.00
ontology_19,entity,80-90,1,33.33
ontology_19,entity,90-100,2,66.67
ontology_19,triple,<50,0,0.00
ontology_19,triple,50-60,0,0.00
ontology_19,triple,60-70,0,0.00
ontology_19,triple,70-80,0,0.00
ontology_19,triple,80-90,0,0.00
ontology_19,triple,90-100,0,0.00
ontology_20,entity,<50,0,0.00
ontology_20,entity,50-60,0,0.00
ontology_20,entity,60-70,0,0.00
ontology_20,entity,70-80,0,0.00
ontology_20,entity,80-90,0,0.00
ontology_20,entity,90-100,2,100.00
ontology_20,triple,<50,0,0.00
ontology_20,triple,50-60,0,0.00
ontology_20,triple,60-70,0,0.00
ontology_20,triple,70-80,0,0.00
ontology_20,triple,80-90,0,0.00
ontology_20,triple,90-100,0,0.00
ontology_3,entity,<50,0,0.00
